pivo,massa,n,M,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias,repeticoes
mediana3,ordenado,1000,5,0.00476,0.00479166,0.00474,0.000302794662168,7.413e-06,9007,255,200
mediana3,repetidos,1000,5,0.01915,0.019178145,0.011969,0.000835510805138,0.000355824,10014.175,3229.685,200
mediana3,aleatorio,1000,6,0.032865,0.03289499,0.017019,0.00145881484902,0.000481845,12001.315,2625.635,200
mediana3,ordenado,1000,6,0.00475,0.004789705,0.00474,0.000418398787885,0,9007,255,200
mediana3,repetidos,1000,6,0.01911,0.01912625,0.01196,0.000853843681632,0.00029652,9757.41,3107.62,200
mediana3,aleatorio,1000,8,0.03163,0.0317215,0.016119,0.0014604011289,0.0004811037,11667.455,2842.155,200
mediana3,ordenado,1000,8,0.00401,0.004039715,0.003989,0.000268428431597,1.4826e-05,8006,127,200
mediana3,repetidos,1000,8,0.01836,0.0184844,0.01129,0.00142904711901,0.000385476,9281.02,2898.705,200
mediana3,aleatorio,1000,10,0.03055,0.030583005,0.01569,0.00135740693342,0.0004736907,11517.425,3092.01,200
mediana3,ordenado,1000,10,0.00401,0.004045465,0.00399,0.000342224571094,1.4826e-05,8006,127,200
mediana3,repetidos,1000,10,0.017795,0.01782176,0.01066,0.000802086125778,0.0003402567,8952.185,2758.135,200
mediana3,aleatorio,1000,12,0.02973,0.02972976,0.014679,0.00131951928296,0.0004440387,11476.03,3361.135,200
mediana3,ordenado,1000,12,0.00403,0.004061015,0.004009,0.000334452984392,1.4826e-05,8006,127,200
mediana3,repetidos,1000,12,0.01757,0.017645465,0.01054,0.001083768768,0.000326172,8723.245,2664.27,200
mediana3,aleatorio,1000,15,0.0287,0.02880287,0.01457,0.0015867676107,0.000429954,11533.76,3781.445,200
mediana3,ordenado,1000,15,0.00386,0.00387867,0.00383,0.000281946680693,1.4826e-05,7661,104,200
mediana3,repetidos,1000,15,0.01734,0.01736281,0.010239,0.000833191987685,0.000340998,8397.925,2537.065,200
mediana3,aleatorio,1000,20,0.02761,0.02762393,0.01427,0.00118091195282,0.0004588647,11827.55,4526.295,200
mediana3,ordenado,1000,20,0.00358,0.003612965,0.00356,0.000380710977009,0,7005,63,200
mediana3,repetidos,1000,20,0.01661,0.01674852,0.00955,0.00109966314605,0.000355824,8032.035,2411.285,200
mediana3,aleatorio,1000,25,0.02682,0.026834435,0.01391,0.00120119406496,0.0004462626,12262.11,5309.41,200
mediana3,ordenado,1000,25,0.00358,0.003647925,0.003569,0.000762513115053,1.4826e-05,7005,63,200
mediana3,repetidos,1000,25,0.01631,0.01633452,0.01333,0.000628126751284,0.000326172,7848.985,2393.32,200
mediana3,aleatorio,1000,30,0.026255,0.02629399,0.013929,0.00118266150316,0.000452193,12766.56,6092.98,200
mediana3,ordenado,1000,30,0.00358,0.00361567,0.003569,0.00036997416873,0,7005,63,200
mediana3,repetidos,1000,30,0.016015,0.01605302,0.00914,0.000885706605233,0.0003195003,7686.175,2387.6,200
mediana3,aleatorio,1000,40,0.02575,0.025795495,0.01492,0.00108246898593,0.0005033427,14007.94,7772.51,200
mediana3,ordenado,1000,40,0.00316,0.00319232,0.003149,0.000331572691652,0,6004,31,200
mediana3,repetidos,1000,40,0.0156695,0.015708435,0.00878,0.000947985309226,0.000378063,7605,2572.92,200
mediana3,aleatorio,1000,50,0.025649,0.025698445,0.01586,0.00103913695683,0.000429954,15261.67,9348.975,200
mediana3,ordenado,1000,50,0.00318,0.00319833,0.00316,0.000299781882349,0,6004,31,200
mediana3,repetidos,1000,50,0.01554,0.015538675,0.00862,0.000751355003364,0.000363237,7721.465,2843.815,200
mediana3,aleatorio,1000,70,0.02616,0.02628789,0.01723,0.00150166813706,0.000585627,18043.09,12618.955,200
mediana3,ordenado,1000,70,0.00281,0.00284923,0.0028,0.0004040354568,0,5003,15,200
mediana3,repetidos,1000,70,0.0156,0.015581975,0.00876,0.000762651302642,0.0004217997,8511.51,3949.065,200
mediana3,aleatorio,1000,100,0.02779,0.02780913,0.01877,0.00110085953768,0.0007272153,22505.96,17593.45,200
mediana3,ordenado,1000,100,0.00281,0.002816325,0.002799,5.27687605068e-05,0,5003,15,200
mediana3,repetidos,1000,100,0.0165695,0.016588815,0.01062,0.000975812523583,0.0006604983,10979.795,6796.98,200
mediana3,aleatorio,1000,150,0.03097,0.030954355,0.02372,0.00135466336896,0.001022994,30545.15,26234.285,200
mediana3,ordenado,1000,150,0.00234,0.002362835,0.002329,0.000302040261177,0,4002,7,200
mediana3,repetidos,1000,150,0.0186345,0.01857896,0.013549,0.0011584081776,0.0010163223,14791.48,10958.17,200
mediana3,aleatorio,1000,200,0.03399,0.03412788,0.027999,0.00162706918917,0.001438122,38292.94,34383.765,200
mediana3,ordenado,1000,200,0.00235,0.00235343,0.002339,5.34146113298e-05,0,4002,7,200
mediana3,repetidos,1000,200,0.021835,0.021994825,0.0161,0.00157221991837,0.001512252,21354.41,17879.325,200
mediana3,aleatorio,10000,1,0.456107,0.45561358,0.443276,0.00534917804727,0.0052269063,187742.46,34677.87,100
mediana3,ordenado,10000,1,0.068329,0.06877093,0.06789,0.00202009458352,0.0001052646,137247,5904,100
mediana3,repetidos,10000,1,0.2295685,0.22976849,0.214448,0.00450607506314,0.0043877547,149073.86,54924.76,100
mediana3,aleatorio,10000,2,0.4556065,0.4556327,0.441036,0.00513223917009,0.004173519,187742.46,34677.87,100
mediana3,ordenado,10000,2,0.068339,0.06894463,0.067899,0.00255511155998,0.000103782,137247,5904,100
mediana3,repetidos,10000,2,0.230968,0.23079736,0.220698,0.00490353916203,0.0044470587,149073.86,54924.76,100
mediana3,aleatorio,10000,3,0.4446765,0.44399609,0.431026,0.00570738087448,0.005085318,175301.27,32764.06,100
mediana3,ordenado,10000,3,0.0632295,0.06347018,0.06285,0.00130955158013,0.0003402567,130011,4095,100
mediana3,repetidos,10000,3,0.2221735,0.22164718,0.207878,0.00414174886299,0.003743565,141002.17,52238.57,100
mediana3,aleatorio,10000,4,0.4378715,0.44162972,0.424367,0.0187944713637,0.0057680553,168384.61,32649.96,100
mediana3,ordenado,10000,4,0.062749,0.0635069,0.06234,0.00345305876556,0.000259455,129055,3856,100
mediana3,repetidos,10000,4,0.218043,0.21746536,0.202428,0.00437504766963,0.003647196,136905.39,50197.72,100
mediana3,aleatorio,10000,5,0.430531,0.42977675,0.417827,0.00469454332796,0.0046864986,163964.87,33223.47,100
mediana3,ordenado,10000,5,0.0554495,0.05596768,0.05513,0.00269966227547,0.0001475187,120010,2047,100
mediana3,repetidos,10000,5,0.212538,0.21278703,0.198529,0.0047414808015,0.0040393437,132545.07,48457.55,100
